Nation;Overall Score;Jameel Index;Jameel Index;Food IM Dep;Food IM Dep;Feed IM Dep;Feed IM Dep;For Exch ;For Exch ;Supply Reliab;Supply Reliab;Supply Robust;Supply Robust;Climate Policy;Climate Policy
Afghanistan;57%;4;Medium;3;Medium;3;Medium;1;Very Low;4;High;3;Medium;3;Medium
Angola;57%;4;Medium;3;Medium;2;Low;3;Medium;3;Medium;3;Medium;3;Medium
Albania;47%;3;Low;3;Medium;2;Low;3;Medium;4;High;1;Very Low;1;Very Low
United Arab Emirates;70%;4;Medium;5;Extreme;5;Extreme;2;Low;4;High;1;Very Low;4;High
Argentina;20%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low
Armenia;70%;5;High;4;High;3;Medium;3;Medium;3;Medium;4;High;4;High
Antigua and Barbuda;47%;4;Medium;5;Extreme;1;Very Low;1;Very Low;3;Medium;2;Low;2;Low
Australia;33%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;5;Extreme;1;Very Low
Austria;40%;2;Very Low;2;Low;2;Low;1;Very Low;2;Low;4;High;1;Very Low
Azerbaijan;53%;4;Medium;3;Medium;2;Low;3;Medium;4;High;3;Medium;1;Very Low
Burundi;47%;3;Low;1;Very Low;1;Very Low;4;High;1;Very Low;4;High;3;Medium
Belgium;53%;3;Low;3;Medium;4;High;2;Low;3;Medium;3;Medium;1;Very Low
Benin;57%;4;Medium;3;Medium;1;Very Low;5;Extreme;2;Low;3;Medium;3;Medium
Burkina Faso;47%;3;Low;1;Very Low;1;Very Low;3;Medium;4;High;3;Medium;2;Low
Bangladesh;53%;3;Low;2;Low;3;Medium;1;Very Low;3;Medium;4;High;3;Medium
Bulgaria;33%;2;Very Low;2;Low;1;Very Low;2;Low;2;Low;2;Low;1;Very Low
Bahamas;77%;5;High;5;Extreme;4;High;4;High;3;Medium;4;High;3;Medium
Bosnia and Herzegovina;47%;3;Low;3;Medium;1;Very Low;3;Medium;4;High;2;Low;1;Very Low
Belarus;37%;2;Very Low;1;Very Low;1;Very Low;2;Low;1;Very Low;5;Extreme;1;Very Low
Belize;57%;4;Medium;3;Medium;1;Very Low;3;Medium;2;Low;4;High;4;High
Bolivia (Plurinational State of);47%;3;Low;2;Low;1;Very Low;1;Very Low;2;Low;5;Extreme;3;Medium
Brazil;40%;2;Very Low;1;Very Low;1;Very Low;2;Low;3;Medium;4;High;1;Very Low
Barbados;73%;5;High;5;Extreme;5;Extreme;4;High;3;Medium;2;Low;3;Medium
Botswana;80%;5;High;5;Extreme;4;High;3;Medium;4;High;4;High;4;High
Central African Republic;50%;3;Low;1;Very Low;1;Very Low;5;Extreme;2;Low;4;High;2;Low
Canada;33%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;5;Extreme;1;Very Low
Switzerland;40%;3;Low;3;Medium;3;Medium;1;Very Low;3;Medium;1;Very Low;1;Very Low
Chile;70%;5;High;3;Medium;4;High;3;Medium;4;High;3;Medium;4;High
China;30%;2;Very Low;1;Very Low;1;Very Low;2;Low;3;Medium;1;Very Low;1;Very Low
Côte d'Ivoire;57%;3;Low;3;Medium;3;Medium;3;Medium;2;Low;4;High;2;Low
Cameroon;53%;3;Low;3;Medium;1;Very Low;1;Very Low;4;High;4;High;3;Medium
Congo, Democratic Republic of the;43%;3;Low;1;Very Low;2;Low;2;Low;1;Very Low;5;Extreme;2;Low
Congo;57%;4;Medium;3;Medium;3;Medium;3;Medium;2;Low;3;Medium;3;Medium
Colombia;67%;4;Medium;3;Medium;4;High;3;Medium;3;Medium;4;High;3;Medium
Comoros;67%;5;High;4;High;2;Low;5;Extreme;3;Medium;3;Medium;3;Medium
Cabo Verde;87%;5;High;5;Extreme;5;Extreme;5;Extreme;3;Medium;4;High;4;High
Costa Rica;70%;5;High;3;Medium;5;Extreme;3;Medium;2;Low;5;Extreme;3;Medium
Cuba;60%;4;Medium;5;Extreme;4;High;1;Very Low;4;High;3;Medium;1;Very Low
Cyprus;57%;4;Medium;3;Medium;4;High;3;Medium;3;Medium;1;Very Low;3;Medium
Czechia;33%;2;Very Low;2;Low;1;Very Low;1;Very Low;1;Very Low;4;High;1;Very Low
Germany;37%;2;Very Low;1;Very Low;2;Low;1;Very Low;1;Very Low;5;Extreme;1;Very Low
Dominica;43%;4;Medium;4;High;1;Very Low;1;Very Low;3;Medium;3;Medium;1;Very Low
Denmark;33%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;5;Extreme;1;Very Low
Dominican Republic;67%;4;Medium;3;Medium;5;Extreme;3;Medium;3;Medium;3;Medium;3;Medium
Algeria;57%;4;Medium;4;High;5;Extreme;1;Very Low;4;High;2;Low;1;Very Low
Ecuador;57%;3;Low;3;Medium;3;Medium;2;Low;3;Medium;3;Medium;3;Medium
Egypt;57%;4;Medium;3;Medium;3;Medium;4;High;3;Medium;3;Medium;1;Very Low
Spain;40%;3;Low;2;Low;3;Medium;2;Low;2;Low;2;Low;1;Very Low
Estonia;37%;2;Very Low;2;Low;1;Very Low;2;Low;1;Very Low;4;High;1;Very Low
Ethiopia;50%;3;Low;1;Very Low;1;Very Low;4;High;2;Low;4;High;3;Medium
Finland;37%;2;Very Low;2;Low;1;Very Low;2;Low;4;High;1;Very Low;1;Very Low
Fiji;80%;5;High;5;Extreme;3;Medium;4;High;3;Medium;4;High;5;Extreme
France;33%;2;Very Low;1;Very Low;1;Very Low;2;Low;2;Low;3;Medium;1;Very Low
Gabon;53%;4;Medium;5;Extreme;2;Low;1;Very Low;3;Medium;2;Low;3;Medium
United Kingdom of Great Britain and Northern Ireland;43%;3;Low;3;Medium;2;Low;2;Low;4;High;1;Very Low;1;Very Low
Georgia;63%;5;High;5;Extreme;3;Medium;3;Medium;3;Medium;2;Low;3;Medium
Ghana;40%;2;Very Low;3;Medium;1;Very Low;1;Very Low;2;Low;4;High;1;Very Low
Guinea;50%;3;Low;3;Medium;2;Low;1;Very Low;2;Low;4;High;3;Medium
Gambia;73%;5;High;5;Extreme;3;Medium;5;Extreme;3;Medium;2;Low;4;High
Greece;47%;3;Low;3;Medium;3;Medium;3;Medium;3;Medium;1;Very Low;1;Very Low
Grenada;80%;5;High;5;Extreme;5;Extreme;5;Extreme;3;Medium;3;Medium;3;Medium
Guatemala;67%;5;High;3;Medium;3;Medium;3;Medium;4;High;4;High;3;Medium
Guyana;67%;5;High;5;Extreme;5;Extreme;2;Low;2;Low;2;Low;4;High
Hong Kong;57%;4;Medium;5;Extreme;5;Extreme;2;Low;3;Medium;1;Very Low;1;Very Low
Honduras;63%;5;High;3;Medium;3;Medium;3;Medium;3;Medium;4;High;3;Medium
Croatia;40%;3;Low;3;Medium;1;Very Low;3;Medium;2;Low;2;Low;1;Very Low
Hungary;30%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;4;High;1;Very Low
Indonesia;43%;3;Low;2;Low;1;Very Low;3;Medium;2;Low;3;Medium;2;Low
India;37%;2;Very Low;1;Very Low;1;Very Low;2;Low;1;Very Low;5;Extreme;1;Very Low
Ireland;50%;3;Low;3;Medium;5;Extreme;1;Very Low;1;Very Low;4;High;1;Very Low
Iran (Islamic Republic of);60%;3;Low;2;Low;4;High;1;Very Low;3;Medium;5;Extreme;3;Medium
Iceland;50%;4;Medium;3;Medium;5;Extreme;2;Low;2;Low;2;Low;1;Very Low
Israel;60%;4;Medium;4;High;5;Extreme;3;Medium;4;High;1;Very Low;1;Very Low
Italy;43%;3;Low;3;Medium;3;Medium;2;Low;3;Medium;1;Very Low;1;Very Low
Jamaica;77%;5;High;4;High;5;Extreme;4;High;3;Medium;4;High;3;Medium
Jordan;80%;5;High;5;Extreme;5;Extreme;4;High;4;High;2;Low;4;High
Japan;63%;5;High;3;Medium;5;Extreme;2;Low;3;Medium;2;Low;4;High
Kazakhstan;37%;2;Very Low;1;Very Low;1;Very Low;2;Low;3;Medium;3;Medium;1;Very Low
Kenya;57%;4;Medium;3;Medium;1;Very Low;4;High;4;High;2;Low;3;Medium
Kyrgyzstan;50%;3;Low;3;Medium;1;Very Low;3;Medium;3;Medium;3;Medium;2;Low
Cambodia;33%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;5;Extreme;1;Very Low
Kiribati;57%;4;Medium;5;Extreme;1;Very Low;5;Extreme;2;Low;3;Medium;1;Very Low
Korea, Republic of;53%;4;Medium;3;Medium;5;Extreme;2;Low;3;Medium;2;Low;1;Very Low
Kuwait;67%;4;Medium;5;Extreme;5;Extreme;3;Medium;4;High;2;Low;1;Very Low
Lao People's Democratic Republic;37%;2;Very Low;1;Very Low;1;Very Low;2;Low;3;Medium;3;Medium;1;Very Low
Lebanon;73%;5;High;5;Extreme;5;Extreme;4;High;3;Medium;2;Low;3;Medium
Libya;63%;5;High;5;Extreme;5;Extreme;1;Very Low;3;Medium;2;Low;3;Medium
Saint Lucia;73%;4;Medium;5;Extreme;5;Extreme;5;Extreme;3;Medium;2;Low;2;Low
Sri Lanka;57%;3;Low;3;Medium;2;Low;3;Medium;3;Medium;3;Medium;3;Medium
Lesotho;73%;5;High;5;Extreme;2;Low;3;Medium;4;High;4;High;4;High
Lithuania;40%;2;Very Low;2;Low;1;Very Low;2;Low;3;Medium;3;Medium;1;Very Low
Luxembourg;43%;3;Low;3;Medium;2;Low;2;Low;2;Low;3;Medium;1;Very Low
